gene_id	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000119922	IFIT2	5264.12009566451	6.86168779974782	0.0911442399569251	75.2838336574057	0	0
ENSG00000111331	OAS3	6691.67148429299	-1.79944066424516	0.0697683159932212	-25.791659704385	1.09990984964154e-146	6.93212570951635e-145
ENSG00000185745	IFIT1	483.485857612969	3.062108770333	0.132643444679568	23.0852627337164	6.51110865435555e-118	2.50406049145465e-116
ENSG00000187608	ISG15	419.485540778961	2.9397869635764	0.131557848005478	22.345964213811	1.32163831571308e-110	4.49008079932359e-109
ENSG00000119917	IFIT3	357.666856454508	2.18795445016448	0.122203016063715	17.9042589998246	1.09239322826384e-71	1.93214706043779e-70
ENSG00000115415	STAT1	6502.60162348354	-0.70077012887257	0.0398167926552805	-17.5998638298063	2.46917177169185e-69	4.17367064331624e-68
ENSG00000138646	HERC5	681.711329142276	1.94563815162755	0.129050828603135	15.0765258362726	2.31114187158992e-51	2.70864073162959e-50
ENSG00000111335	OAS2	144.872110567161	6.42018794124216	0.441996855281232	14.5254154289336	8.36337281638592e-48	9.02753160837574e-47
ENSG00000170581	STAT2	567.149726679767	-1.87050679797456	0.131131938547314	-14.2643113393741	3.65179008007234e-46	3.80352719233707e-45
ENSG00000126709	IFI6	159.478183837091	1.44508735748738	0.166579500704554	8.67506116524141	4.13328262685685e-18	2.11646549631227e-17
ENSG00000134321	RSAD2	56.7613349868309	7.3725693170686	0.862407781381473	8.54882049563448	1.2435273878461e-17	6.2790406787873e-17
ENSG00000165949	IFI27	47.6642049667094	2.84747176395732	0.39923926204085	7.1322438314345	9.87457426166247e-13	4.16764524188411e-12
ENSG00000169245	CXCL10	26.2478373858878	7.52049525651108	1.07212666859594	7.01455851887344	2.30676166145166e-12	9.60202367286023e-12
ENSG00000184979	USP18	970.917421110172	0.527024358277914	0.0807549000529992	6.52622141730136	6.74495901052853e-11	2.62935905280412e-10
ENSG00000169248	CXCL11	14.7899993984347	6.68591479389853	1.09654866042602	6.09723492918313	1.07918861273436e-09	3.95719576566877e-09
ENSG00000115267	IFIH1	320.95473318495	0.710205232951225	0.121398601503026	5.85019287008443	4.91003322495768e-09	1.7398926684239e-08
ENSG00000183486	MX2	7.24027709453039	5.63328319640443	1.17062122746385	4.81221685054263	1.49265264363648e-06	4.54238263113735e-06
ENSG00000089127	OAS1	8672.32179339423	-0.252212036156627	0.0554931183926717	-4.54492455031927	5.49549355042e-06	1.60438487260418e-05
ENSG00000157601	MX1	24.3197682278811	1.31960684663038	0.380703890515153	3.46622894986638	0.000527813619443199	0.00128174413742588
ENSG00000213928	IRF9	300.857329406215	0.18583449611875	0.168888991419178	1.10033516428264	0.271186116274609	0.36281114425302
ENSG00000130303	BST2	0.689054740269242	-1.04211688362231	2.29273585554921	-0.454529849611775	0.649447512657326	
ENSG00000185507	IRF7	0.557947625316817	-1.38401673296789	2.73321561728143	-0.506369392965962	0.61259735679576	
